Institution,Category - ALL,Category - Scheduled Caste(SC),Category - Scheduled Tribe (ST),Category - Other Backward Classes (OBC),Category - Person With Disability (PWD),Category - Muslim,Category - Other Minority Communities,Category - Foreign Students
"Academy of Maritime Education and Training, Chennai (Id: U-0434)",0.05,0.05,0.04,0.04,NA,0.12,0.16,0.52
ACADEMY OF SCIENTIFIC & INNOVATIVE RESEARCH (Id: U-0713),0.5,0.32,0.29,0.32,0,NA,NA,0
"Acharya Nagarjuna University, Guntur (Id: U-0003)",0.84,0.92,0.75,0.81,0.48,0.81,0.8,NA
"Acharya NG Ranga Agricultural University, Hyderabad (Id: U-0004)",1.16,1.25,0.82,1.23,0.83,NA,NA,1
ADESH UNIVERSITY (Id: U-0736),2.65,1.56,NA,1.53,NA,1,NA,NA
"Adikavi Nannaya University, Rajahmundry, East Godawari (Id: U-0005)",0.54,0.55,0.71,0.41,0,NA,NA,NA
Ahmedabad University (Id: U-0122),0.98,0.61,1,0.95,NA,NA,NA,1
AISECT UNIVERSITY (Id: U-0656),0.29,0.21,0.11,0.29,NA,0.07,0.5,0
"AKS UNIVERSITY, SATNA (Id: U-0650)",0.14,0.08,0.05,0.1,NA,0.33,NA,NA
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",1.09,1.03,NA,2.13,NA,5.67,NA,0
"Aliah University, Kolkata (Id: U-0567)",0.26,NA,NA,NA,NA,0.24,2.68,NA
"Aligarh Muslim University, Aligarh (Id: U-0496)",0.31,NA,NA,NA,NA,NA,NA,0
Alliance University. Bangalore (Id: U-0213),0.52,0.72,1,0,NA,NA,NA,0.72
All India Institute of Medical Sciences (Id: U-0096),0.6,0.7,0.89,0.5,0.08,NA,NA,0.34
"Amity University, Gautam Budh Nagar (Id: U-0497)",0.56,0.52,1,0.46,NA,NA,NA,0.06
"Amity University, Gwalior (Id: U-0604)",0.4,0.57,0.33,0.16,NA,NA,NA,NA
"Amity University Haryana, Gurgaon (Id: U-0155)",0.45,0.76,0.33,0.32,NA,NA,NA,0.42
"Amity University, Jaipur, (Id: U-0388)",0.35,0.29,0.26,0.25,NA,NA,NA,NA
"Amrita Vishwa Vidyapeetham, Coimbatore (Id: U-0436)",0.89,0.81,0.78,0.92,4,1.38,1.69,1.18
"Anand Agricultural University, Anand (Id: U-0123)",NA,NA,NA,NA,NA,NA,NA,NA
"Andhra University, Visakhapatnam (Id: U-0006)",0.81,0.82,0.64,0.88,NA,NA,NA,0.21
"Annamalai University, Annamalainagar (Id: U-0443)",1.06,1,0.64,1.23,0,0.53,NA,0.88
"Anna University, Chennai (Id: U-0439)",0.77,0.73,1,0.74,NA,0.17,NA,NA
Ansal University (Id: U-0667),0.47,NA,NA,NA,NA,NA,NA,NA
"Apeejay Stya University, Sohna (Id: U-0156)",0.44,NA,NA,NA,NA,NA,NA,NA
APG (ALAKH PRAKASH GOYAL) SHIMLA UNIVERSITY (Id: U-0697),0.13,0.06,0,0.14,NA,0,NA,0.17
"A.P. University of Law, Vishakhapatnam (Id: U-0002)",1.11,0,NA,0.6,NA,0,NA,NA
"Arni University, Katgarh (Indora), Kangra (Id: U-0176)",0.27,0.17,0.11,0.17,NA,0.12,NA,NA
"Aryabhatta Knoweledge University , Patna (Id: U-0057)",NA,NA,NA,NA,NA,NA,NA,NA
"Assam Agricultural University, Jorhat (Id: U-0048)",1.32,NA,NA,NA,NA,NA,NA,0.33
"Assam Don Bosco University, Guwahati (Id: U-0049)",0.61,0.57,0.83,0.57,NA,0.67,0.91,NA
ASSAM DOWN TOWN UNIVERSITY (Id: U-0683),0.63,NA,NA,NA,NA,NA,NA,0
"Assam University, Silchar (Id: U-0050)",0.96,0.61,0.85,0.92,0,NA,NA,1
ATAL BIHARI VAJPAYEE HINDI VISHWAVIDYALAYA (Id: U-0651),1,NA,NA,NA,NA,NA,NA,NA
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior (Id: U-0267)",0.3,0.22,0.11,0.22,0,0.1,0,NA
"Avinashilingam Institute for Home Science & Higher Education for Women, Coimbatore (Id: U-0444)",NA,NA,NA,NA,NA,NA,NA,NA
"Awadesh Pratap Singh University, Rewa (Id: U-0268)",0.44,0.19,0.21,0.58,NA,NA,NA,NA
"Ayush and Health Science University of Chattisgarh, Raipur (Id: U-0081)",2.16,NA,NA,NA,NA,NA,NA,NA
"Azim Premji University, Bangalore (Id: U-0601)",0.66,0.25,NA,0.16,NA,NA,NA,NA
"Baba Farid University of Health & Medical Sciences, Faridkot (Id: U-0371)",4.94,NA,NA,NA,NA,NA,NA,1.57
"Baba Ghulam Shah Badshah University, Jammu (Id: U-0191)",0.27,0.47,0.35,0.35,NA,0.28,0,NA
BABA MASTNATH UNIVERSITY (Id: U-0666),0.6,0.12,NA,0.23,NA,NA,NA,NA
"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur (Id: U-0058)",0.41,NA,NA,NA,NA,NA,NA,NA
"Babasheb Bhimrao Ambedkar University, Lucknow (Id: U-0498)",0.62,0.51,0.41,0.66,0.26,NA,NA,0
"Babu Banarsi Das University, Lucknow (Id: U-0499)",0.37,0.27,0.25,0.29,NA,0.25,1.2,NA
"Baddi University of Emerging Sciences and Technology, Budha (Makhnumajra), Solan (Id: U-0177)",0.3,0.13,0.44,0.22,NA,NA,NA,NA
"Bahra University, Solan (Id: U-0597)",0.27,0.19,0.4,0.12,0,NA,NA,NA
"Banaras Hindu University, Banaras (Id: U-0500)",0.51,0.4,0.48,0.43,0.35,NA,0.65,0.58
Banasthali Vidyapith (Id: U-0389),28.46,86,23.43,24.14,NA,NA,1,NA
"Bangalore University, Bangalore (Id: U-0215)",1.19,0.94,0.92,1.41,0.73,1.35,NA,NA
"Barkatullah University, Bhopal (Id: U-0269)",0.34,1.64,1,4.82,NA,0.79,NA,NA
"Bastar Vishwavidyalaya, Bastar (Id: U-0082)",1,0.71,0.27,0.64,NA,NA,NA,NA
"Berhampur University, Berhampur (Id: U-0350)",0.7,0.42,0.62,NA,0,NA,NA,NA
"Bhagat Phool Singh Mahila University, Khanpur Kalan, Sonipat (Id: U-0157)",NA,NA,NA,NA,NA,NA,NA,NA
"Bhagwant University, Ajmer (Id: U-0390)",0.11,0.14,0.12,0.1,NA,0.11,NA,0.18
"Bharathiar University, Coimbatore (Id: U-0447)",0.96,1.15,0.81,1.41,0.51,0.43,0.67,0.82
"Bharathidasan University, Tiruchirappalli (Id: U-0448)",1.52,1.44,1.8,0.88,NA,NA,NA,NA
