State,Central University,State Public University,State Private University,Deemed University - Government,Deemed University - Government Aided,Deemed University - Private,Institute of National Importance,Instiutes under State Legislature Act,Central Open University,State Open University,State Private Open University,Others,Total
Andaman & Nicobar Islands,NA,0.98,NA,NA,NA,NA,NA,NA,1.27,NA,NA,NA,1.17
Andhra Pradesh,NA,0.79,NA,0.49,NA,0.42,NA,2.45,0.51,0.79,NA,0.43,0.74
Arunachal Pradesh,2.87,NA,NA,0.34,NA,NA,0.24,NA,1.04,NA,NA,NA,1.28
Assam,0.8,1.22,0.58,NA,NA,0,0.14,NA,0.84,0.94,NA,NA,0.91
Bihar,0.83,0.59,NA,0.41,NA,0.5,0.12,1.2,0.79,0.44,NA,NA,0.6
Chandigarh,NA,0.76,NA,0.24,NA,0.3,0.34,NA,0.74,NA,NA,NA,0.72
Chhatisgarh,0.55,1.38,0.49,NA,NA,NA,0.26,NA,0.55,0.55,NA,NA,0.62
Dadra & Nagar Haveli,NA,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31
Daman & Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delhi,0.97,0.32,NA,0.34,0.75,0.47,0.28,NA,0.8,NA,NA,NA,0.83
Goa,NA,1.93,NA,NA,NA,NA,0.22,NA,1.31,NA,NA,NA,1.38
Gujarat,0.57,0.88,0.59,NA,0.66,1.39,0.16,NA,0.89,0.75,NA,NA,0.78
Haryana,0.94,0.77,0.45,0.67,NA,0.41,0.18,NA,0.49,NA,NA,NA,0.61
Himachal Pradesh,1.08,0.72,0.43,0.78,NA,1.11,0.16,NA,0.9,NA,NA,NA,0.6
Jammu and Kashmir,0.66,1.18,NA,0.3,NA,NA,0.1,0.35,0.84,NA,NA,NA,0.91
Jharkhand,0.7,0.86,0.34,0.07,0.36,0.51,0.13,NA,0.7,NA,NA,NA,0.61
Karnataka,1.45,0.8,0.54,0.51,NA,0.85,0.43,NA,1.26,1.48,NA,NA,1.03
Kerala,2.21,0.87,NA,0.28,NA,NA,0.38,NA,0.89,NA,NA,NA,0.83
Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madhya Pradesh,0.52,0.14,0.26,0.24,NA,0.5,0.22,NA,0.9,0.61,NA,0.57,0.28
Maharashtra,0.85,0.5,NA,0.48,0.64,0.68,0.25,NA,0.61,0.5,NA,NA,0.53
Manipur,1.06,NA,NA,NA,NA,NA,0.16,NA,0.68,NA,NA,NA,0.81
Meghalaya,1.45,0.16,0.86,NA,NA,NA,0.18,NA,1.26,NA,NA,NA,1.15
Mizoram,0.84,0.11,0.42,NA,NA,NA,0.15,NA,0.98,NA,NA,NA,0.88
Nagaland,0.8,NA,0.01,NA,NA,NA,0.17,NA,1.33,NA,NA,NA,0.3
Odisha,1.1,0.91,0.23,1.39,NA,0.55,0.22,NA,0.89,NA,NA,NA,0.73
Puducherry,0.56,1.05,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,0.64
Punjab,1.27,1.17,0.45,0.27,NA,0.45,0.27,NA,0.77,NA,NA,NA,0.75
Rajasthan,0.6,0.53,0.28,0.56,NA,1.52,0.2,NA,0.56,0.65,NA,NA,0.57
Sikkim,1.03,0.87,0.97,NA,NA,NA,0.18,NA,1.83,NA,NA,NA,1.35
Tamil Nadu,0.22,1.01,NA,NA,NA,0.44,0.27,NA,1.55,0.8,NA,NA,0.83
Telangana,0.77,0.76,NA,NA,NA,0.46,0.22,NA,1.05,0.77,NA,NA,0.74
Tripura,0.8,0.22,0.52,NA,NA,NA,0.16,NA,0.52,NA,NA,NA,0.57
Uttar Pradesh,0.44,0.52,0.36,0.25,0.59,0.52,0.14,0.89,0.66,0.71,NA,NA,0.47
Uttrakhand,1.19,0.85,0.41,0.56,0.23,0.44,0.18,NA,0.89,0.83,NA,NA,0.67
West Bengal,0.72,1.1,NA,NA,NA,0.34,0.19,NA,0.86,0.64,NA,NA,0.85
All India,0.86,0.73,0.39,0.32,0.67,0.54,0.22,1.28,0.82,0.72,NA,0.5,0.68
